,title,release_date,genres,mpaa,budget_cost,total_gross,runtime
1177,Beach Rats,"Aug 25, 2017",['Drama'],R,,"{'domestic_gross': 473771, 'worldwide_gross': 486623}",1 hr 38 min
1178,Journey to the South Pacific,"Nov 27, 2013",['Documentary'],G,,"{'domestic_gross': 7653913, 'worldwide_gross': 14994876}",40 min
1179,Duckweed,"Feb 10, 2017","['Comedy', 'Drama', 'Fantasy']",,,"{'domestic_gross': 471575, 'worldwide_gross': 152894264}",1 hr 42 min
1180,DCI 2017 Tour Premeire,"Jun 22, 2017",['Documentary'],,,"{'domestic_gross': 467817, 'worldwide_gross': 467817}",
1181,Phillauri,"Mar 24, 2017","['Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance']",,,"{'domestic_gross': 467596, 'worldwide_gross': 5805030}",2 hr 18 min
1182,Chasing the Dragon,"Sep 29, 2017","['Action', 'Biography', 'Crime', 'History']",,,"{'domestic_gross': 456854, 'worldwide_gross': 87965942}",2 hr 8 min
1183,Sailor Moon R: The Movie: The Promise of the Rose,"Jan 19, 2017","['Action', 'Animation', 'Comedy', 'Drama', 'Fantasy', 'Romance']",,,"{'domestic_gross': 452053, 'worldwide_gross': 452053}",1 hr 1 min
1184,Song to Song,"Mar 17, 2017","['Drama', 'Music', 'Romance']",R,,"{'domestic_gross': 443684, 'worldwide_gross': 1778021}",2 hr 9 min
1185,Land of Mine,"Dec 16, 2016","['Drama', 'History', 'War']",R,,"{'domestic_gross': 435266, 'worldwide_gross': 3169553}",1 hr 40 min
1186,One Piece Film: Gold,"Jan 10, 2017","['Action', 'Adventure', 'Animation', 'Fantasy']",,,"{'domestic_gross': 423593, 'worldwide_gross': 66207073}",2 hr
1187,A Gentleman,"Aug 25, 2017","['Action', 'Comedy']",,,"{'domestic_gross': 410055, 'worldwide_gross': 3438746}",2 hr 25 min
1188,"Love, Kennedy","Jun 2, 2017",['Drama'],PG,,"{'domestic_gross': 407871, 'worldwide_gross': 407871}",1 hr 32 min
1189,Chasing Trane: The John Coltrane Documentary,"Apr 14, 2017","['Biography', 'Documentary', 'Music']",,,"{'domestic_gross': 406284, 'worldwide_gross': 406284}",1 hr 39 min
1190,The Accountant,"Oct 14, 2016","['Action', 'Crime', 'Drama', 'Thriller']",R,"$44,000,000","{'domestic_gross': 86260045, 'worldwide_gross': 155160045}",2 hr 8 min
1191,Samurai Cop,"Apr 13, 2017","['Action', 'Crime', 'Thriller']",,,"{'domestic_gross': 384756, 'worldwide_gross': 384756}",1 hr 36 min
1192,I'll Push You: A Real-Life Inspiration,"Nov 2, 2017","['Adventure', 'Documentary', 'Drama']",,,"{'domestic_gross': 378899, 'worldwide_gross': 378899}",1 hr 40 min
1193,Rebel in the Rye,"Sep 8, 2017","['Biography', 'Drama', 'Romance', 'War']",PG-13,,"{'domestic_gross': 378294, 'worldwide_gross': 944370}",1 hr 46 min
1194,Island of Lemurs: Madagascar,"Apr 4, 2014","['Adventure', 'Biography', 'Documentary', 'Family', 'Short']",,,"{'domestic_gross': 11272213, 'worldwide_gross': 14066534}",39 min
1195,BOSTON: An American Running Story,"Apr 19, 2017",['Documentary'],,,"{'domestic_gross': 364369, 'worldwide_gross': 364369}",1 hr 54 min
1196,Kung Fu Yoga,"Jan 27, 2017","['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']",,"$65,000,000","{'domestic_gross': 362657, 'worldwide_gross': 257743016}",1 hr 47 min
1197,Disney Junior HalloVeen Party!,Mickey Mouse Mixed-Up Adventures,[],,,"{'domestic_gross': 359745, 'worldwide_gross': 359745}",46 min
1198,Letters From Baghdad,"Jun 2, 2017",['Documentary'],,,"{'domestic_gross': 359735, 'worldwide_gross': 502941}",1 hr 35 min
1199,OK Jaanu,"Jan 13, 2017","['Drama', 'Romance']",,,"{'domestic_gross': 355922, 'worldwide_gross': 5445281}",2 hr 15 min
1200,Long Strange Trip - The Untold Story of The Grateful Dead,"May 25, 2017",['Documentary'],R,,"{'domestic_gross': 351957, 'worldwide_gross': 351957}",3 hr 58 min
1201,Pearl Jam: Let's Play Two,"Sep 29, 2017","['Documentary', 'Music']",,,"{'domestic_gross': 348833, 'worldwide_gross': 450273}",2 hr
1202,Countdown to Canelo vs. Chavez Jr.,"May 6, 2017",['Action'],,,"{'domestic_gross': 343387, 'worldwide_gross': 343387}",1 hr 10 min
1203,This Is Not What I Expected,"May 5, 2017","['Comedy', 'Drama', 'Romance']",,,"{'domestic_gross': 337670, 'worldwide_gross': 30996615}",1 hr 46 min
1204,Dunkirk,"Dec 1, 2017","['Action', 'Drama', 'History', 'Thriller', 'War']",PG-13,"$100,000,000","{'domestic_gross': 1695119, 'worldwide_gross': 1696804}",1 hr 46 min
1205,Chuck,Rocky,"['Biography', 'Drama', 'Sport']",R,,"{'domestic_gross': 320725, 'worldwide_gross': 502518}",1 hr 38 min
1206,Citizen Jane: Battle for the City,"Apr 21, 2017","['Biography', 'Documentary', 'History']",,,"{'domestic_gross': 313411, 'worldwide_gross': 323124}",1 hr 32 min
1207,City Of Rock,"Oct 6, 2017","['Comedy', 'Music']",,,"{'domestic_gross': 312537, 'worldwide_gross': 9118873}",1 hr 57 min
1208,A Silent Voice: The Movie,"Oct 20, 2017","['Animation', 'Drama', 'Family', 'Romance']",,,"{'domestic_gross': 310407, 'worldwide_gross': 30156463}",2 hr 10 min
1209,My Life as a Zucchini,"Feb 24, 2017","['Animation', 'Comedy', 'Drama', 'Family']",PG-13,,"{'domestic_gross': 309766, 'worldwide_gross': 5872598}",1 hr 6 min
1210,God's Own Country,"Oct 24, 2017","['Drama', 'Romance']",,,"{'domestic_gross': 335609, 'worldwide_gross': 2559939}",1 hr 44 min
