,title,release_date,genres,mpaa,budget_cost,total_gross,runtime,release_month,release_year,world_gross,domestic_gross,month_year,genre_1
2274,Golden Slumber,"Feb 16, 2018","['Action', 'Thriller']",,,"{'domestic_gross': 94450, 'worldwide_gross': 10733326}",1 hr 48 min,Feb,2018,10733326,94450,Feb 2018,Action
2275,Let the Corpses Tan,"Aug 31, 2018",['Thriller'],,,"{'domestic_gross': 93409, 'worldwide_gross': 93409}",1 hr 32 min,Aug,2018,93409,93409,Aug 2018,Thriller
2276,Reign of Judges: Title of Liberty - Concept Short,"Mar 15, 2018","['Action', 'Short']",,,"{'domestic_gross': 93224, 'worldwide_gross': 98408}",14 min,Mar,2018,98408,93224,Mar 2018,Action
2277,The Breadwinner,"Nov 17, 2017","['Animation', 'Drama', 'Family', 'War']",PG-13,,"{'domestic_gross': 312381, 'worldwide_gross': 363307}",1 hr 34 min,Nov,2017,363307,312381,Nov 2017,Animation
2278,BANDSTAND: The Broadway Musical on Screen,"Nov 15, 2018",['Musical'],,,"{'domestic_gross': 91000, 'worldwide_gross': 91000}",2 hr 10 min,Nov,2018,91000,91000,Nov 2018,Musical
2279,John McEnroe: In the Realm of Perfection,"Aug 22, 2018","['Documentary', 'Sport']",,,"{'domestic_gross': 90964, 'worldwide_gross': 114289}",1 hr 35 min,Aug,2018,114289,90964,Aug 2018,Documentary
2280,Running for Grace,"Jul 20, 2018","['Family', 'Romance']",,,"{'domestic_gross': 89988, 'worldwide_gross': 89988}",1 hr 50 min,Jul,2018,89988,89988,Jul 2018,Family
2281,Airpocalypse,"Dec 21, 2018","['Action', 'Adventure', 'Comedy', 'Fantasy']",,,"{'domestic_gross': 105678, 'worldwide_gross': 18491089}",1 hr 45 min,Dec,2018,18491089,105678,Dec 2018,Action
2282,Cat on a Hot Tin Roof,"Feb 22, 2018",['Drama'],,,"{'domestic_gross': 89332, 'worldwide_gross': 89332}",3 hr 5 min,Feb,2018,89332,89332,Feb 2018,Drama
2283,The Third Murder,"Jul 20, 2018","['Crime', 'Drama', 'Mystery']",,,"{'domestic_gross': 89315, 'worldwide_gross': 13411936}",2 hr 4 min,Jul,2018,13411936,89315,Jul 2018,Crime
2284,Bolshoi Ballet: Swan Lake,"Jul 23, 2018",[],,,"{'domestic_gross': 88905, 'worldwide_gross': 341946}",2 hr 40 min,Jul,2018,341946,88905,Jul 2018,[]
2285,Goldstone,"Mar 2, 2018","['Crime', 'Thriller']",R,,"{'domestic_gross': 87639, 'worldwide_gross': 87639}",1 hr 50 min,Mar,2018,87639,87639,Mar 2018,Crime
